coddepto,seccion
001,6
002,4
003,3
004,3
005,5
006,7
007,6
008,5
009,2
010,2
018,2
013,7
014,4
015,3
016,1
017,3
019,4
020,4
021,2
032,6
023,5
029,4
030,5
135,5
031,4
024,2
025,6
120,6
026,6
027,6
028,6
062,3
033,5
036,3
132,3
037,2
038,3
128,3
039,5
040,7
041,4
042,5
043,5
044,6
119,5
046,5
090,5
047,5
123,5
048,5
049,4
127,4
050,5
051,1
052,1
118,1
053,1
129,1
130,1
054,4
055,4
056,6
057,6
059,6
060,4
063,8
034,3
012,3
064,6
113,1
065,5
045,1
066,4
067,4
068,5
069,3
070,3
071,1
072,3
131,3
073,5
074,5
075,1
061,3
076,1
077,1
078,5
079,1
080,1
133,1
134,1
081,1
082,5
083,4
084,7
022,6
085,4
058,4
086,6
126,6
100,6
087,2
088,5
089,1
035,1
091,6
092,3
011,3
093,2
094,5
095,4
096,2
097,7
098,6
099,7
101,2
102,2
103,2
104,5
105,1
106,1
107,2
108,2
109,3
110,1
111,5
112,7
116,5
114,6
115,4
117,6
121,7
122,1
124,6
125,2
